QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,50.71192899421371,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,41.24785128465312,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,34.01302979731289,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,37.993786921245984,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,32.760970770771394,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,45.92580304157967,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.853486329670453,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.760531885507692,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,54.46155750541115,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,27.883478108730653,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,54.16312862279765,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,63.09273333453351,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,59.41259394602707,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,41.56002038982053,False,"string,trie",algorithms
15,3Sum,3sum,Medium,33.29245491284426,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.50458631321212,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,58.602374016553085,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,35.765737317386595,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,42.58472885049108,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.180822021595745,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,63.19283304281418,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,73.41319633851242,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,50.93782282775384,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,63.10941557552997,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,56.576496544894525,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,53.185527081299476,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,54.626512353287445,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,40.50957190959153,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.111672012890065,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,31.511635904309305,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,38.58129181256953,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,33.24412546178862,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,39.97544748903648,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,42.590846021770204,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,44.418562225182406,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,58.638299840829575,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,59.28074750875509,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,53.237744434073576,False,string,algorithms
39,Combination Sum,combination-sum,Medium,69.94863131115729,False,"array,backtracking",algorithms
40,Combination Sum II,combination-sum-ii,Medium,53.74292459723381,False,"array,backtracking",algorithms
41,First Missing Positive,first-missing-positive,Hard,37.144147381110855,False,"array,hash-table",algorithms
42,Trapping Rain Water,trapping-rain-water,Hard,59.926007458885444,False,"array,two-pointers,dynamic-programming,stack,monotonic-stack",algorithms
43,Multiply Strings,multiply-strings,Medium,39.50265301840451,False,"math,string,simulation",algorithms
44,Wildcard Matching,wildcard-matching,Hard,27.258310522657652,False,"string,dynamic-programming,greedy,recursion",algorithms
45,Jump Game II,jump-game-ii,Medium,40.1292312896244,False,"array,dynamic-programming,greedy",algorithms
46,Permutations,permutations,Medium,77.2231613451291,False,"array,backtracking",algorithms
47,Permutations II,permutations-ii,Medium,58.050822967753255,False,"array,backtracking",algorithms
48,Rotate Image,rotate-image,Medium,72.60411115629111,False,"array,math,matrix",algorithms
49,Group Anagrams,group-anagrams,Medium,66.97766527213203,False,"array,hash-table,string,sorting",algorithms
50,"Pow(x, n)",powx-n,Medium,34.00770883684856,False,"math,recursion",algorithms
51,N-Queens,n-queens,Hard,66.13337367769715,False,"array,backtracking",algorithms
52,N-Queens II,n-queens-ii,Hard,72.57979138825735,False,backtracking,algorithms
53,Maximum Subarray,maximum-subarray,Medium,50.336130452491744,False,"array,divide-and-conquer,dynamic-programming",algorithms
54,Spiral Matrix,spiral-matrix,Medium,47.5875019787874,False,"array,matrix,simulation",algorithms
55,Jump Game,jump-game,Medium,38.627150727251625,False,"array,dynamic-programming,greedy",algorithms
56,Merge Intervals,merge-intervals,Medium,46.53780823735447,False,"array,sorting",algorithms
57,Insert Interval,insert-interval,Medium,39.38721881581154,False,array,algorithms
58,Length of Last Word,length-of-last-word,Easy,46.11919185132931,False,string,algorithms
59,Spiral Matrix II,spiral-matrix-ii,Medium,70.14382531438643,False,"array,matrix,simulation",algorithms
60,Permutation Sequence,permutation-sequence,Hard,45.532592765112575,False,"math,recursion",algorithms
61,Rotate List,rotate-list,Medium,36.77010360407998,False,"linked-list,two-pointers",algorithms
62,Unique Paths,unique-paths,Medium,63.64812222472492,False,"math,dynamic-programming,combinatorics",algorithms
63,Unique Paths II,unique-paths-ii,Medium,40.95907100896839,False,"array,dynamic-programming,matrix",algorithms
64,Minimum Path Sum,minimum-path-sum,Medium,62.865536340709205,False,"array,dynamic-programming,matrix",algorithms
65,Valid Number,valid-number,Hard,18.916145837374724,False,string,algorithms
66,Plus One,plus-one,Easy,44.22469126375048,False,"array,math",algorithms
67,Add Binary,add-binary,Easy,52.70586811684386,False,"math,string,bit-manipulation,simulation",algorithms
68,Text Justification,text-justification,Hard,41.31610160886862,False,"array,string,simulation",algorithms
69,Sqrt(x),sqrtx,Easy,37.92845150219243,False,"math,binary-search",algorithms
70,Climbing Stairs,climbing-stairs,Easy,52.219395615247876,False,"math,dynamic-programming,memoization",algorithms
71,Simplify Path,simplify-path,Medium,40.96477400481932,False,"string,stack",algorithms
72,Edit Distance,edit-distance,Medium,55.423101051378275,False,"string,dynamic-programming",algorithms
73,Set Matrix Zeroes,set-matrix-zeroes,Medium,53.411578286746284,False,"array,hash-table,matrix",algorithms
74,Search a 2D Matrix,search-a-2d-matrix,Medium,49.21324134060045,False,"array,binary-search,matrix",algorithms
75,Sort Colors,sort-colors,Medium,60.374840781377436,False,"array,two-pointers,sorting",algorithms
76,Minimum Window Substring,minimum-window-substring,Hard,41.243259622858844,False,"hash-table,string,sliding-window",algorithms
77,Combinations,combinations,Medium,69.30825191978036,False,backtracking,algorithms
78,Subsets,subsets,Medium,76.14101684118937,False,"array,backtracking,bit-manipulation",algorithms
79,Word Search,word-search,Medium,40.71241535927472,False,"array,backtracking,matrix",algorithms
80,Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,Medium,55.03850407191678,False,"array,two-pointers",algorithms
81,Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,Medium,37.25461533271705,False,"array,binary-search",algorithms
82,Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,Medium,46.5234664932883,False,"linked-list,two-pointers",algorithms
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,Easy,51.45514916563019,False,linked-list,algorithms
84,Largest Rectangle in Histogram,largest-rectangle-in-histogram,Hard,43.340075878327376,False,"array,stack,monotonic-stack",algorithms
85,Maximal Rectangle,maximal-rectangle,Hard,45.84089048330344,False,"array,dynamic-programming,stack,matrix,monotonic-stack",algorithms
86,Partition List,partition-list,Medium,55.07328348171235,False,"linked-list,two-pointers",algorithms
87,Scramble String,scramble-string,Hard,39.30369867158165,False,"string,dynamic-programming",algorithms
88,Merge Sorted Array,merge-sorted-array,Easy,47.97305168484818,False,"array,two-pointers,sorting",algorithms
89,Gray Code,gray-code,Medium,57.96919854303682,False,"math,backtracking,bit-manipulation",algorithms
90,Subsets II,subsets-ii,Medium,56.523063013517195,False,"array,backtracking,bit-manipulation",algorithms
91,Decode Ways,decode-ways,Medium,33.3331368952317,False,"string,dynamic-programming",algorithms
92,Reverse Linked List II,reverse-linked-list-ii,Medium,47.152166829586186,False,linked-list,algorithms
93,Restore IP Addresses,restore-ip-addresses,Medium,48.45114886865724,False,"string,backtracking",algorithms
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,Easy,74.7322907882934,False,"stack,tree,depth-first-search,binary-tree",algorithms
95,Unique Binary Search Trees II,unique-binary-search-trees-ii,Medium,56.35272411372506,False,"dynamic-programming,backtracking,tree,binary-search-tree,binary-tree",algorithms
96,Unique Binary Search Trees,unique-binary-search-trees,Medium,60.37250952219667,False,"math,dynamic-programming,tree,binary-search-tree,binary-tree",algorithms
97,Interleaving String,interleaving-string,Medium,39.27982108960644,False,"string,dynamic-programming",algorithms
98,Validate Binary Search Tree,validate-binary-search-tree,Medium,32.31584252415142,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
99,Recover Binary Search Tree,recover-binary-search-tree,Medium,51.97271918997903,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
100,Same Tree,same-tree,Easy,59.593440451568966,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms